"name","existing_housing_units","baseline_under_zoning","plexify_reform","multiply_reform","legalize_reform","middle_reform","all_reforms"
"Auburn",5927,28578,30683,45742,31417,31560,52503
"Bellevue",22516,39326,50302,48962,39326,46956,67226
"Bothell",6959,28051,33597,40274,28125,31892,49672
"Burien",4531,8832,11767,12263,8840,10212,15706
"Des Moines",4188,13378,17647,22837,14888,16471,29493
"DuPont",165,639,639,1119,2656,1089,3586
"Edgewood",5,5,17,5,5,5,17
"Edmonds",2457,20935,23529,28376,22723,22930,34701
"Everett",15766,117326,128053,152687,117326,129169,172383
"Federal Way",8350,25578,32914,38426,27741,29878,50740
"Fife",104,484,564,484,484,488,568
"Fircrest",648,1081,1465,1530,1081,1223,1937
"Issaquah",93,93,161,93,93,93,161
"Kenmore",3109,5041,7713,6718,5090,5802,9893
"Kent",18482,39048,52954,54528,39065,48587,74606
"King unincorp",1979,3483,3504,4482,3483,11774,12405
"Kirkland",3549,8614,10506,11771,9651,11827,17170
"Lake Forest Park",1975,2520,6779,3254,2520,3150,7978
"Lakewood",1449,2634,3677,3330,2748,2894,4685
"Lynnwood",6802,12391,20821,16756,13031,19106,31302
"Mercer Island",1877,4036,4946,5439,5142,4241,7629
"Mill Creek",3390,4465,5673,5170,4465,7279,8487
"Mountlake Terrace",1762,39941,40196,54031,39941,47363,60068
"Mukilteo",396,926,1929,1239,926,926,2242
"Newcastle",219,219,540,271,219,248,592
"Pierce unincorp",8060,39552,39552,64078,46292,86256,113206
"Puyallup",1448,7020,8266,10347,10089,7020,14662
"Redmond",13124,23563,29320,33335,24078,28143,42456
"Renton",14020,29787,37726,45338,29787,33220,55897
"SeaTac",5952,14344,19678,22265,14443,24486,35828
"Seattle",255012,451068,498399,655714,455346,477390,719977
"Shoreline",11600,42966,57805,64873,45174,43450,82230
"Snohomish unincorp",23287,57211,66471,76808,57211,99912,124111
"Sumner",767,836,2088,894,836,1983,3235
"Tacoma",25654,66489,97164,97915,66489,71589,131344
"Tukwila",4745,12148,14504,16588,15084,15171,23774
"University Place",31,1272,1305,1272,1272,1272,1305
